상품 ID,시트행,상품 이름,사이즈/규격,분류,위치,상태(정규화),상태(원본),처리방안(정규화),처리방안(원본),수량,단위,수량(원본),수량신뢰도,옵션별수량,대여가능(결정),비고/특이사항,지원팀장 의견
Y26-033,34,JTS 판넬 ( 지구촌 아이들의 엄마가 되어주세요 ),,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,1,,1,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-034,35,JTS 판넬 ( 아이들은 제때에 배워야 합니다 ),,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,1,,1,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-035,36,JTS 하트 판넬,,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,4,,4,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-036,37,"JTS 판넬
( 연탄으로 추위를 녹여요 1 / 2 )",,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,6,,3 / 3,derived,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-037,38,JTS 플라스틱 포장상자,,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,5,,5,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-038,39,영양꾸러미 장바구니 (中),,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,22,,22,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-039,40,영양꾸러미 장바구니 (大),,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,10,,10,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-040,41,JTS 거리캠페인 어깨띠,,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,40,,40,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-041,42,"JTS 현수막 
( 굶주리는 지구촌 아이들이 엄마가 되어주세요 1 )",,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,1,,1,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-042,43,"JTS 현수막 
( 굶주리는 지구촌 아이들이 엄마가 되어주세요 2 )",,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,1,,1,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-043,44,"JTS 조끼(하늘색,L,XL,2XL)",,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,25,,1 / 4 / 20,derived,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-044,45,JTS판넬(우리가 함께 여는 아름다운 세상),,JTS,정토회관,active,사용가능,transfer:jts,JTS 이관,2,,2,exact,,,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
Y26-045,46,모포,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
